timestamp,open,high,low,close,volume
2022-01-03T21:00:00Z,100.27,104.16,96.64,97.16,4112945
2022-01-04T21:00:00Z,97.51,103.02,96.73,98.61,5196928
2022-01-05T21:00:00Z,98.93,100.00,98.71,99.24,3135262
2022-01-06T21:00:00Z,99.62,100.98,99.07,100.73,3115944
2022-01-07T21:00:00Z,101.06,102.48,99.14,100.50,5038655
2022-01-10T21:00:00Z,101.05,102.96,100.50,101.66,3656519
2022-01-11T21:00:00Z,100.97,104.47,99.90,104.06,3121892
2022-01-12T21:00:00Z,103.92,106.98,102.12,102.21,2767499
2022-01-13T21:00:00Z,103.08,104.42,101.30,101.51,3781324
2022-01-14T21:00:00Z,101.83,102.75,100.32,100.53,2913437
2022-01-17T21:00:00Z,100.02,102.05,99.02,99.95,2031220
2022-01-18T21:00:00Z,100.52,102.04,98.64,99.57,4170385
2022-01-19T21:00:00Z,99.65,101.68,99.60,101.15,3696454
2022-01-20T21:00:00Z,101.64,102.90,100.93,101.18,2515758
2022-01-21T21:00:00Z,101.55,103.83,100.06,102.38,3419117
2022-01-24T21:00:00Z,102.70,104.87,100.81,104.69,3688661
2022-01-25T21:00:00Z,103.93,106.15,101.65,103.75,4244591
2022-01-26T21:00:00Z,102.79,104.49,102.54,103.01,5621124
2022-01-27T21:00:00Z,102.90,106.37,102.35,104.38,2418376
2022-01-28T21:00:00Z,103.85,105.43,100.77,102.66,2213837
2022-01-31T21:00:00Z,102.44,106.88,101.59,103.34,5885981
2022-02-01T21:00:00Z,102.44,103.56,101.23,103.43,2566163
2022-02-02T21:00:00Z,103.09,105.00,102.58,104.94,3411246
2022-02-03T21:00:00Z,104.70,106.72,101.96,102.78,2134654
2022-02-04T21:00:00Z,102.76,105.64,101.04,105.09,6042706
2022-02-07T21:00:00Z,105.17,109.76,102.36,107.02,3564789
2022-02-08T21:00:00Z,106.37,112.87,104.54,108.93,3377436
2022-02-09T21:00:00Z,108.65,113.84,106.61,111.89,3289229
2022-02-10T21:00:00Z,111.50,112.38,105.49,108.58,2893395
2022-02-11T21:00:00Z,108.91,110.58,107.85,107.94,3413046
2022-02-14T21:00:00Z,108.20,109.66,100.73,105.03,4111186
2022-02-15T21:00:00Z,105.51,107.21,105.43,105.85,2749261
2022-02-16T21:00:00Z,105.71,106.19,103.02,105.48,2628799
2022-02-17T21:00:00Z,106.30,109.93,104.46,108.46,2035178
2022-02-18T21:00:00Z,108.26,111.13,105.40,108.60,1640834
2022-02-21T21:00:00Z,108.01,113.20,107.39,112.45,3524923
2022-02-22T21:00:00Z,113.15,114.97,111.89,112.25,3572748
2022-02-23T21:00:00Z,112.65,115.61,110.50,113.84,2487118
2022-02-24T21:00:00Z,114.05,117.02,111.72,112.67,4196404
2022-02-25T21:00:00Z,112.81,114.02,108.93,111.43,4842641
2022-02-28T21:00:00Z,111.72,114.26,110.29,111.61,4266886
2022-03-01T21:00:00Z,111.28,113.79,110.12,112.96,2975513
2022-03-02T21:00:00Z,113.38,114.50,110.00,111.12,2324969
2022-03-03T21:00:00Z,111.39,114.41,110.12,113.82,3103345
2022-03-04T21:00:00Z,114.14,116.40,111.18,115.82,2778158
2022-03-07T21:00:00Z,115.54,117.49,114.95,117.41,3267618
2022-03-08T21:00:00Z,118.02,119.14,113.26,115.57,1315842
2022-03-09T21:00:00Z,115.00,117.45,112.93,116.57,2924540
2022-03-10T21:00:00Z,117.06,121.68,114.64,118.45,3280881
2022-03-11T21:00:00Z,118.28,120.00,116.30,117.60,3854689
2022-03-14T21:00:00Z,118.58,119.54,115.95,116.14,2955915
2022-03-15T21:00:00Z,115.45,123.04,115.17,120.16,2432803
2022-03-16T21:00:00Z,120.17,122.99,117.39,121.41,3075362
2022-03-17T21:00:00Z,121.45,124.35,120.64,122.69,3237053
2022-03-18T21:00:00Z,122.99,124.11,119.40,122.14,2221732
2022-03-21T21:00:00Z,122.54,125.54,116.70,117.65,3221463
2022-03-22T21:00:00Z,117.71,119.02,116.10,116.99,5519331
2022-03-23T21:00:00Z,117.11,120.78,114.75,120.52,2614116
2022-03-24T21:00:00Z,120.51,121.83,118.31,120.19,3195373
2022-03-25T21:00:00Z,119.89,124.00,119.55,120.82,2821216
2022-03-28T21:00:00Z,119.99,121.96,117.05,119.10,2894517
2022-03-29T21:00:00Z,119.36,119.99,118.34,119.78,5867130
2022-03-30T21:00:00Z,120.04,120.24,118.87,119.27,4973339
2022-03-31T21:00:00Z,120.17,121.52,113.40,114.34,3434524
2022-04-01T21:00:00Z,114.94,115.64,108.42,111.46,2660265
2022-04-04T21:00:00Z,112.12,113.47,109.83,110.63,2143526
2022-04-05T21:00:00Z,111.19,112.61,108.14,110.34,3745248
2022-04-06T21:00:00Z,110.14,114.29,109.48,110.47,2396691
2022-04-07T21:00:00Z,111.29,114.56,106.92,108.13,3044051
2022-04-08T21:00:00Z,107.16,110.23,105.48,108.02,4275534
2022-04-11T21:00:00Z,107.47,108.81,104.64,105.53,4085544
2022-04-12T21:00:00Z,105.38,109.81,102.12,108.78,3115270
2022-04-13T21:00:00Z,108.81,109.18,104.53,106.45,3204757
2022-04-14T21:00:00Z,106.54,107.59,104.96,106.75,3364402
2022-04-15T21:00:00Z,106.65,110.34,105.08,106.60,5033065
2022-04-18T21:00:00Z,106.47,107.10,103.50,105.13,2472744
2022-04-19T21:00:00Z,104.89,106.46,102.25,105.27,2457119
2022-04-20T21:00:00Z,105.12,109.96,100.93,107.30,1816877
2022-04-21T21:00:00Z,107.18,112.85,105.88,108.85,3231845
2022-04-22T21:00:00Z,109.55,110.54,105.82,108.91,7234124
2022-04-25T21:00:00Z,108.41,109.89,107.15,108.69,2521015
2022-04-26T21:00:00Z,108.40,108.72,107.47,108.12,2755200
2022-04-27T21:00:00Z,108.62,111.08,106.18,106.97,4181432
2022-04-28T21:00:00Z,106.89,107.41,105.55,106.33,3527788
2022-04-29T21:00:00Z,106.13,110.37,103.52,108.28,3246524
2022-05-02T21:00:00Z,108.08,109.80,107.38,108.95,3570070
2022-05-03T21:00:00Z,108.34,108.47,102.24,107.92,4169222
2022-05-04T21:00:00Z,108.09,108.78,104.74,107.09,4305279
2022-05-05T21:00:00Z,107.10,111.63,107.03,109.13,2530303
2022-05-06T21:00:00Z,109.05,110.88,107.32,110.26,7208596
2022-05-09T21:00:00Z,109.45,112.29,107.56,111.22,4284151
2022-05-10T21:00:00Z,110.75,114.69,110.02,112.31,6211172
2022-05-11T21:00:00Z,112.17,113.06,110.47,112.44,5899687
